pt_root_id,total_myelin_length,cell_type,number_of_segments
864691136675519879,616.34,BC,562
864691135293096118,0.0,5P-IT,302
864691135163673901,1360.94,5P-IT,149
864691135361689159,814.05,5P-IT,74
864691135778700477,160.27,23P,160
864691135993767617,109.86,6P-CT,47
864691135755308493,459.81,5P-IT,78
864691135585713528,486.91,5P-IT,67
864691135356428751,2447.28,BC,582
864691135428676144,0.0,23P,11
864691135941435393,21.06,4P,29
864691135731656633,0.0,23P,45
864691135385422677,141.32,4P,61
864691135851839687,389.34,5P-IT,52
864691135848030814,68.85,23P,93
864691135942643060,462.22,4P,62
864691135477839784,0.0,6P-IT,37
864691135492991839,0.0,5P-IT,37
864691135645874159,639.06,23P,70
864691135940847270,99.51,23P,52
864691136925601354,763.73,4P,59
864691135953985800,16.98,23P,51
864691135816565839,677.74,23P,103
864691136066069400,327.74,23P,39
864691135617152361,486.63,5P-IT,99
864691136093003700,906.2,5P-IT,159
864691135726340523,143.89,6P-IT,55
864691135741655956,153.56,23P,76
864691136195798504,413.05,5P-ET,42
864691135214643256,31.35,6P-IT,110
864691134886037498,398.62,BC,449
864691135868919318,642.04,5P-IT,59
864691135503433309,0.0,4P,47
864691135937286404,901.3,4P,68
864691136927595082,14.46,BC,303
864691135539536754,146.75,23P,56
864691135430853424,2.48,23P,53
864691135308673094,18.47,4P,63
864691136013053859,122.71,4P,65
864691136419797655,388.04,5P-ET,44
864691135350542039,572.82,5P-IT,91
864691136603306193,266.03,6P-IT,65
864691135866576604,698.82,4P,72
864691135772053835,0.0,23P,62
864691135852637127,0.97,6P-IT,43
864691135375572168,322.3,5P-IT,75
864691135572530981,426.21,5P-ET,65
864691136209328060,500.45,23P,133
864691135688387040,430.0,4P,64
864691135396485877,14.18,6P-IT,57
864691135890856073,34.0,4P,88
864691135755384269,0.0,4P,44
864691136380268245,227.23,23P,47
864691135919749808,159.66,6P-CT,27
864691136177308422,901.31,BC,631
864691135404763374,184.29,23P,23
864691135212863360,348.32,MC,591
864691135583277677,0.0,4P,53
864691135464101789,349.42,23P,57
864691135855890478,217.96,23P,109
864691136275031565,973.22,5P-IT,43
864691135782542416,1245.75,23P,87
864691135569282284,1019.82,MC,270
864691135430859056,412.37,5P-IT,107
864691135496268176,504.73,23P,108
864691135572654885,224.57,23P,75
864691136298624539,0.0,5P-IT,43
864691135760319822,0.0,4P,47
864691134948973308,137.01,4P,97
864691135375430985,15.87,MC,717
864691135325046940,0.0,BC,69
864691135927647956,236.36,4P,29
864691136674275975,0.0,23P,61
864691135382556378,1618.4,5P-ET,42
864691135615585739,174.01,23P,57
864691135114178969,383.45,5P-IT,113
864691135611140359,0.0,4P,62
864691134966069023,0.0,4P,51
864691135749141801,377.69,23P,89
864691135510406921,23.49,4P,57
864691136052366067,132.5,23P,57
864691136991901845,0.0,6P-IT,37
864691135775906989,320.21,5P-IT,40
864691136052828915,152.58,4P,57
864691135811349452,185.59,BC,454
864691136602371025,501.61,23P,41
864691135578571013,0.0,4P,38
864691136390601335,11.59,6P-IT,1
864691135760106830,148.46,4P,61
864691135276132325,94.62,23P,65
864691135518453642,444.27,23P,34
864691135738868593,0.0,23P,53
864691136210743740,617.57,5P-IT,87
864691135162908461,228.82,4P,49
864691136110765496,3.6,MC,196
864691135955081992,0.0,23P,33
864691135946676260,326.78,23P,31
